id,name_en,name_ne,name_hi,name_zh,aliases,kind,district,municipality,ward,lat,lon,elev_m,km,side,in_channel,below_barrier_lakes,notes
galchhi_relief_camp,Galchhi transit relief camp,गल्छी ट्रान्जिट राहत शिविर,गल्छी ट्रांजिट राहत शिविर,,Galchhi relief camp|गल्छी राहत शिविर|Galchhi Transit Relief Camp,shelter,Dhading,Galchhi RM,,27.84,84.985,,60,NP,false,false,Transit relief camp at the Galchhi highway junction; coord: NDRRMA centroid (NDRRMA stationed-locations id 10 'Galchhi Transit Relief Camp')
gajuri,Gajuri,गजुरी,गजुरी,,Gajuri Bazar|गजुरी बजार,settlement,Dhading,Gajuri RM,,27.80468,84.87712,,64,NP,true,true,Prithvi Highway bazaar on the Trishuli between Galchhi and Malekhu; coord: OSM/Nominatim node/279374584 'गजुरी'
malekhu,Malekhu,मलेखु,मलेखु,,Malekhu Bazar|मलेखु बजार,settlement,Dhading,Benighat Rorang RM,,27.8137,84.82724,,68,NP,true,true,Highway bazaar; DHM gauge washed away; three concrete bridges Galchhi–Malekhu gone; coord: OSM/Nominatim node/3013890962 'मलेखु'
benighat,Benighat,बेनीघाट,बेनीघाट,,Beni Ghat|बेनी घाट,settlement,Dhading,Benighat Rorang RM,,27.78347,84.79512,,74,NP,true,true,Budhi Gandaki–Trishuli confluence on the Prithvi Highway; coord: OSM/Nominatim node/4941656353 'बेनीघाट'
mugling,Mugling,मुग्लिन,मुगलिंग,,Muglin|Mugling Bazar|मुग्लिङ|मुग्लिन बजार,settlement,Chitwan,Ichchhakamana RM,,27.85616,84.56095,,85,NP,true,true,Marsyangdi–Trishuli confluence; highway junction for Pokhara/Narayanghat; coord: OSM/Nominatim node/567088223 'मुग्लिङ'
devghat,Devghat,देवघाट,देवघाट,,Devghat Dham|Deoghat|देवघाट धाम,settlement,Tanahun,Devghat RM,,27.73919,84.42543,,100,NP,true,true,Kali Gandaki–Trishuli confluence; surviving live DHM gauge; bodies recovered here; coord: OSM/Nominatim node/1995767582 'देवघाट'
bharatpur,Bharatpur,भरतपुर,भरतपुर,,Narayanghat|Narayangarh|Bharatpur Chitwan|भरतपुर चितवन|नारायणघाट|नारायणगढ,settlement,Chitwan,Bharatpur Metropolitan,,27.68119,84.43017,,110,NP,true,true,Chitwan HQ on the Narayani; body identification centre; coord: OSM/Nominatim node/567090203 'भरतपुर'
bharatpur_body_centre,Bharatpur Hospital (body identification centre),भरतपुर अस्पताल,भरतपुर अस्पताल,,Bharatpur Hospital|Bharatpur body centre|भरतपुर अस्पताल शव,hospital,Chitwan,Bharatpur Metropolitan,,27.68237,84.43603,,110,NP,false,false,Bodies recovered downstream (Chitwan/Nawalparasi) collected and identified here; coord: OSM/Nominatim way/930045826 'BHARATPUR HOSPITAL'
gosaikunda,Gosaikunda,गोसाइँकुण्ड,गोसाईकुंड,,Gosainkunda|Gosaikund|Gosain Kund|Gosaikunda lake|गोसाइकुण्ड|गोसाईकुण्ड|गोसाइँकुण्ड,lodge_cluster,Rasuwa,Gosaikunda RM,,28.08254,85.4138,4380,,NP,false,false,Pilgrimage lake (Janai Purnima 28 Aug); never in the flood path; ~62 Nepali pilgrims listed missing en route; off-corridor; elev approx; coord: OSM/Nominatim way/24719058 'गोसाइँकुण्ड'
kathmandu,Kathmandu,काठमाडौँ,काठमांडू,加德满都,Kathmandu|KTM|Kathmandu Valley|काठमाडौं|काठमाण्डौ|काठमांडू|加德满都,settlement,Kathmandu,Kathmandu Metropolitan,,27.70832,85.32058,1355,,NP,false,false,Destination for airlifts and for families arriving from abroad; off-corridor; coord: OSM/Nominatim relation/12394677 'काठमाडौँ महानगरपालिका'
pokhara_pahs,Pokhara Academy of Health Sciences,पोखरा स्वास्थ्य विज्ञान प्रतिष्ठान,पोखरा स्वास्थ्य विज्ञान अकादमी,,PAHS|Western Regional Hospital|Pokhara hospital|पश्चिमाञ्चल क्षेत्रीय अस्पताल|पोखरा अस्पताल,hospital,Kaski,Pokhara Metropolitan,,28.21271,83.99836,,,NP,false,false,Receiving hospital for casualties routed west; off-corridor; coord: OSM/Nominatim relation/10953384 'Western Regional Hospital'
sanjen_hep,Sanjen Hydropower,सान्जेन जलविद्युत,सांजेन जलविद्युत,,Sanjen HEP|Sanjen Jalavidhyut|Sanjen Upper|सान्जेन जलविद्युत कम्पनी,tunnel_portal,Rasuwa,Aamachhodingmo RM,,28.185,85.306,,,NP,false,false,Sanjen (42.5 MW) + Sanjen Upper (14.8 MW) on the Sanjen Khola above Chilime; not reported hit; off-corridor; coord estimated at the APF 'Sanjen Hydropower Security Base' (OSM node/4158781389)
trauma_center_kathmandu,"National Trauma Center, Kathmandu",राष्ट्रिय ट्रमा सेन्टर,राष्ट्रीय ट्रॉमा सेंटर,,Trauma Center|Bir Hospital Trauma Center|National Trauma Centre|ट्रमा सेन्टर|बीर अस्पताल ट्रमा सेन्टर,hospital,Kathmandu,Kathmandu Metropolitan,,27.7043,85.31307,,,NP,false,false,Bir Hospital campus; receiving hospital for injured; off-corridor; coord: OSM/Nominatim way/112117062 'National Trauma Center'
tuth_kathmandu,"TU Teaching Hospital, Kathmandu",त्रिवि शिक्षण अस्पताल,त्रिभुवन विश्वविद्यालय शिक्षण अस्पताल,,TUTH|Tribhuvan University Teaching Hospital|Teaching Hospital Maharajgunj|शिक्षण अस्पताल महाराजगञ्ज,hospital,Kathmandu,Kathmandu Metropolitan,,27.73524,85.33098,,,NP,false,false,Maharajgunj; receiving hospital for airlifted casualties; off-corridor; coord: NDRRMA centroid (NDRRMA stationed-locations id 13 'Tribhuvan University Teaching Hospital')
bhotekoshi_rm_sindhupalchok,Bhotekoshi Rural Municipality (Sindhupalchok),भोटेकोशी गाउँपालिका (सिन्धुपाल्चोक),भोटेकोशी ग्रामीण नगरपालिका (सिंधुपालचोक),,Bhotekoshi RM|Bhote Koshi Gaunpalika|Bhotekoshi Gaupalika|भोटेकोशी गाउँपालिका|भोटेकोसी गाउँपालिका,district,Sindhupalchok,Bhotekoshi RM,,27.93298,85.90582,,,NP,false,false,NOT the Bhote Koshi river corridor of this event: a rural municipality on the Sun Koshi/Bhote Koshi (Kodari) in Sindhupalchok. DAO/Setu records naming 'Bhotekoshi' need this disambiguation; boundary centroid; coord: OSM/Nominatim relation/10534613 'भोटेकोशी गाउँपालिका'
chitwan,Chitwan,चितवन,चितवन,,Chitwan District|चितवन जिल्ला,district,Chitwan,,,27.61809,84.45362,,,NP,false,false,"District (Bharatpur, Mugling); bodies recovered from the Narayani; boundary centroid; coord: OSM/Nominatim relation/4589410 'चितवन जिल्ला'"
dhading,Dhading,धादिङ,धादिंग,,Dhading District|धादिङ जिल्ला|धादिङ्ग,district,Dhading,,,28.00852,84.90614,,,NP,false,false,"District (Galchhi, Gajuri, Malekhu, Benighat); boundary centroid; coord: OSM/Nominatim relation/4583249 'धादिङ जिल्ला'"
gorkha,Gorkha,गोरखा,गोरखा,,Gorkha District|गोरखा जिल्ला,district,Gorkha,,,28.27084,84.84076,,,NP,false,false,District; pilgrim bus from Gorkha to Gosaikunda lost at Dobhan; boundary centroid; coord: OSM/Nominatim relation/4588150 'गोरखा'
nawalparasi_east,Nawalparasi East (Nawalpur),नवलपरासी पूर्व (नवलपुर),नवलपरासी पूर्व (नवलपुर),,Nawalpur|Nawalpur District|Nawalparasi (Bardaghat Susta East)|नवलपुर|नवलपुर जिल्ला|नवलपरासी (बर्दघाट सुस्ता पूर्व),district,Nawalpur,,,27.65376,84.03114,,,NP,false,false,District east of the Narayani; bodies recovered; boundary centroid; coord: OSM/Nominatim relation/10489606 'Nawalpur District'
nawalparasi_west,Nawalparasi West (Parasi),नवलपरासी पश्चिम (परासी),नवलपरासी पश्चिम (परासी),,Parasi|Nawalparasi W|Nawalparasi (Bardaghat Susta West)|परासी|नवलपरासी पश्चिम|नवलपरासी (बर्दघाट सुस्ता पश्चिम),district,Parasi,,,27.52251,83.73632,,,NP,false,false,District west of the Narayani; bodies recovered; boundary centroid; coord: OSM/Nominatim relation/4589560 'Nawalparasi W'
nuwakot,Nuwakot,नुवाकोट,नुवाकोट,,Nuwakot District|नुवाकोट जिल्ला|नुवाकोट,district,Nuwakot,,,27.9258,85.24867,,,NP,false,false,District (HQ Bidur); boundary centroid; NDRRMA rescued-locations id 25 'नुवाकोट'; coord: OSM/Nominatim relation/4583250 'नुवाकोट जिल्ला'
rasuwa,Rasuwa,रसुवा,रसुवा,,Rasuwa District|रसुवा जिल्ला|रसुवा,district,Rasuwa,,,28.17536,85.4776,,,NP,false,false,"District: Uttargaya, Kalika, Gosaikunda, Naukunda, Aamachhodingmo (Parbatikunda) RMs; boundary centroid; NDRRMA rescued-locations id 26 'रसुवा'; coord: OSM/Nominatim relation/4583252 'रसुवा जिल्ला'"
sindhupalchok,Sindhupalchok,सिन्धुपाल्चोक,सिंधुपालचोक,,Sindhupalchowk|Sindhupalchok District|सिन्धुपाल्चोक जिल्ला|सिन्धुपाल्चोक,district,Sindhupalchok,,,27.90591,85.75631,,,NP,false,false,District east of Rasuwa; appears in NDRRMA rescued-locations (name-collision watch: its Bhotekoshi RM is a different river); boundary centroid; NDRRMA rescued-locations id 11 'Sindhupalchok'; coord: OSM/Nominatim relation/4583254 'सिन्धुपाल्चोक जिल्ला'
tanahun,Tanahun,तनहुँ,तनहुं,,Tanahun District|Tanahu|तनहुँ जिल्ला|तनहु,district,Tanahun,,,27.93551,84.22365,,,NP,false,false,District (Devghat); boundary centroid; coord: OSM/Nominatim relation/4588151 'तनहुँ'
