id,priority,category,provider,sensor_product,nepal_candidate,epoch_role,resolution,height_method,geometry,product_needed,what_exists,visited_status,provided_to_project,usefulness,verdict,principal_blocker,access_tier,account_required,signup_requirements,verification_mfa,eligibility_approval,contract_licence_payment,api_authentication,delivery,current_account_status,current_entitlement,next_action,source_url,access_url,auth_docs_url,confidence,verified_date,notes
SAR-05,P2,SAR / InSAR — research,JAXA / ASF,ALOS-2 PALSAR-2,Pre-event 30 Jan 2026 products confirmed by Sentinel Asia; post compatible scene unconfirmed,Pre,Mode dependent,L-band InSAR/coherence,Same path/frame and SLC needed,Pre/post Level 1.1 SLC pair,Three pre-event scene records,Sentinel Asia exact records and JAXA access docs researched,Metadata only,Medium-high if post pair exists,Search post-event same-track archive,Post SLC access and temporal/baseline compatibility,JAXA account / catalogue; product access varies,Yes for ordering/download,JAXA G-Portal user registration and terms acceptance,Email/account verification,Dataset-specific; ALOS PRISM is catalogue-only in G-Portal and may require separate order route,Mission/product licence; fees or research restrictions may apply,G-Portal account/session or API credentials where offered,Portal/order/download,No JAXA account,None,Query JAXA/ASF for matching post track/frame,https://sentinel-asia.org/EO/2026/article20260826NP.html,https://gportal.jaxa.jp/,,High,2026-08-30,
SAR-06,P1,SAR / bistatic InSAR — research/commercial,DLR / Airbus,TanDEM-X CoSSC bistatic pair,No exact event acquisition confirmed,Post or reference,~3–12 m product dependent,Single-pass bistatic InSAR DEM,Best SAR option against temporal decorrelation,Archived or newly tasked CoSSC bistatic acquisition,Scientific proposal route supports archived/new bistatic pairs,DLR proposal and EOWEB requirements researched,No data acquired,Very high if available,Best SAR height route,Proposal/fee/approval and acquisition availability,Scientific proposal / quota / possible service fee,Yes — DLR investigator plus later EOWEB account,"Username/password, email, full contact/address, PI/team and detailed research proposal/data requirements",Email verification; proposal evaluation can take weeks,"Approved scientific proposal, signed licence, scanned photo ID and assigned quota",Scientific licence; service fee may apply; Airbus commercial route is separate,DLR Science Service/EOWEB credentials,EOWEB/secure DLR download,No DLR investigator account,None,Submit scientific proposal for Nepal archive/new bistatic coverage,https://tandemx-science.dlr.de/cgi-bin/wcm.pl?page=TDM-Proposal-Submission-Procedure-CoSSC,https://tandemx-science.dlr.de/,,High,2026-08-30,
SAR-07,P2,SAR / InSAR — research/commercial,DLR / Airbus,TerraSAR-X,No exact event scene confirmed,Pre or post,Up to ~1 m spotlight,"Repeat-pass InSAR, offsets or radargrammetry",SSC/SLC and precise orbits needed,Compatible pre/post SSC products,Science proposal and commercial routes,DLR Science Service/EOWEB researched,No data acquired,High if archive pair exists,Paid/proposal archive search,"Proposal/contract, pair geometry and Nepal coverage",Scientific proposal / quota / possible service fee,Yes — DLR investigator plus later EOWEB account,"Username/password, email, full contact/address, PI/team and detailed research proposal/data requirements",Email verification; proposal evaluation can take weeks,"Approved scientific proposal, signed licence, scanned photo ID and assigned quota",Scientific licence; service fee may apply; Airbus commercial route is separate,DLR Science Service/EOWEB credentials,EOWEB/secure DLR download,No account,None,Search EOWEB metadata or ask DLR science coordinator,https://www.sss.terrasar-x.dlr.de/,https://eoweb.dlr.de/,,High,2026-08-30,
SAR-08,P2,SAR / InSAR — institution/commercial,ASI / e-GEOS,COSMO-SkyMed first/second generation,No exact event pair confirmed,Pre or post,Sub-metre to metres,X-band InSAR/stereo/change,Complex products and compatible orbit needed,SLC pair or interferometric stack,Institutional portal and commercial route,Official ASI access page researched,No data acquired,High if pair exists,Institutional/commercial archive target,Eligibility/contract and exact coverage,Institutional/science proposal or commercial e-GEOS,Yes,Institution/user details and project purpose; commercial users contact e-GEOS,Portal registration and approval,ASI institutional/science eligibility or commercial contract,"Mission licence; science call may be free, commercial access quoted",Portal credentials; API depends on agreement,ASI portal or e-GEOS commercial delivery,No account,None,Institutional science application or e-GEOS archive quote,https://www.asi.it/en/earth-science/cosmo-skymed/,,,High,2026-08-30,
SAR-09,P2,SAR / InSAR — government portal,Canadian Space Agency,RADARSAT Constellation Mission,Archive coverage not queried,Pre or post,Public international land typically 16 m or coarser; finer for vetted users,C-band InSAR/coherence/change,SLC/complex product access required,Matching complex pre/post products,Public and vetted EODMS routes,Official CSA access policy researched,No data acquired,Medium,Public search first; vetted request only if exact pair exists,Finer data security vetting and pair availability,Free government portal account,Yes — EODMS public user,User account/contact details and acceptance of Government of Canada terms,Account verification/login,Public subset only,No charge; product-specific Government of Canada licence,EODMS portal/OpenSearch credentials as required,EODMS download or public cloud for selected holdings,No EODMS account,None,Create public EODMS account and search Nepal inventory,https://www.asc-csa.gc.ca/eng/satellites/radarsat/access-to-data/about.asp,https://www.eodms-sgdot.nrcan-rncan.gc.ca/,,High,2026-08-30,
SAR-10,P3,SAR / InSAR — vetted,Canadian Space Agency,RCM fine-resolution vetted holdings,Unknown until public catalogue is searched,Pre or post,5 m / 3 m class for vetted access where approved,InSAR/coherence,Complex product entitlement needed,Fine-resolution complex products,International entities can apply for vetted status,Official vetting policy researched,No data acquired,Medium-high if public search finds pair,Do not begin ~100-day vetting without exact lead,"Security screening, organisational legal signatory and timeline",Security-vetted institutional account,Yes — EODMS then vetted-user application,"Organisation point of contact, legal representative, project/use and application package",CSA/Global Affairs Canada security screening; approval timeline uncertain,Canadian or international organisation accepted as vetted user,No image fee for RCM archive; vetted EULA and handling obligations,Vetted EODMS credentials,EODMS secure download,No account,None,Search public catalogue first; apply only against named scenes,https://www.asc-csa.gc.ca/eng/satellites/radarsat/access-to-data/about.asp,,,High,2026-08-30,
SAR-11,P3,SAR / InSAR — commercial,MDA Space,RADARSAT-2,Archive coverage not queried,Pre or post,Mode dependent; fine products commercial,C-band InSAR/coherence,SLC pair and orbits required,Compatible complex pair,Public catalogue explorer; no open imagery,Official catalogue/access policy researched,No data acquired,Medium,Commercial archive lead,Purchase/licence and pair availability,Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Search public catalogue then request quote only for exact pair,https://gsiportal.mda.space/Guide,https://gsiportal.mda.space/Explore,,High,2026-08-30,
SAR-12,P3,Historical SAR — open,CSA / NRCan,RADARSAT-1,Archive coverage not queried,Historical pre,Mode dependent,Historical SAR/InSAR if compatible pairs exist,SLC archive planned/available by product,Overlapping historical SLC pair,Archive released under Open Government Licence,Official 2026 access update researched,No data acquired,Low-medium historical,Long-term archive context,Old epoch and exact complex-pair availability,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",Not created / not required,Unknown or not applicable,Low-priority EODMS/AWS search,https://www.asc-csa.gc.ca/eng/satellites/radarsat1/data-access.asp,,,High,2026-08-30,
SAR-13,P2,Commercial SAR,ICEYE,ICEYE SLC/GRD/Dwell products,Commercial archive not queried,Pre or post,Sub-metre to metres,"SLC InSAR, amplitude/coherence, offsets",SLC plus orbit metadata; repeat geometry required,Exact SLC pair or tasking,"60,000+ image catalogue and automated purchase/tasking API",Official product/API/authentication docs researched,No data acquired,High if same-geometry pair exists,Strong paywall-gated SAR archive,Contract required; no developer sandbox,Commercial contract + OAuth2,Yes — ICEYE contract with ICAS enabled,"Company/sales enquiry, AOI/use case, contract and delivery configuration",Provider provisioning; no public developer sandbox,Signed ICEYE contract and contract ID,Commercial pricing per task/archive frame and contract,"OAuth2 client credentials: TOKEN_URL, CLIENT_ID, CLIENT_SECRET; one-hour bearer token",ICAS Delivery API to configured S3/SFTP locations,No contract/account,None,Ask ICEYE sales for Nepal SLC archive search before contracting,https://www.iceye.com/sar-data/api,https://docs.iceye.com/constellation/api/,https://docs.iceye.com/constellation/api/1.0/getting-started/sign-up/,High,2026-08-30,
SAR-14,P3,Open SAR samples,ICEYE,ICEYE Open Data,No Nepal event scene confirmed in open sample catalogue,Methods/test,Varies,SLC/GRD method development,Some open SLC products,Public sample,Unsigned public S3 STAC; CC BY 4.0,Official open-data docs researched,No Nepal data,Medium for pipeline testing; none direct,Software fixture source,Likely no Nepal event coverage,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",Not created / not required,Unknown or not applicable,Use only for SAR pipeline test if needed,https://sar.iceye.com/6.0.6/opendata/opendata/,,,High,2026-08-30,
SAR-15,P2,Commercial SAR,Capella Space,Capella SLC / Geo / SICD / CPHD,Archive not queried,Pre or post,Sub-metre to metres,SLC InSAR/radargrammetry; CPHD advanced processing,Complex/orbit products available by product,Compatible SLC pair or tasking,Console/API and open sample datasets,Official product guide identified,No data acquired,High if pair exists,Strong commercial SAR lead,Commercial onboarding and exact archive coverage,Commercial SAR platform / contract,Yes after sales/platform onboarding,"Organisation, contact, AOI, acquisition mode, product level, date and use case",Provider-specific onboarding/MFA,"Archive availability/tasking feasibility, export controls and contract",Commercial quote/order and SAR imagery EULA,API token/OAuth or portal credentials if enabled,Portal/API/S3/SFTP/HTTPS,Not created / not required,Unknown or not applicable,Request Nepal archive footprint/geometry search from Capella,https://support.capellaspace.com/hubfs/CE%20Team/Capella_Product%20Guide%20Brochure_June2025.pdf,https://www.capellaspace.com/contact/,,Medium-high,2026-08-30,
SAR-16,P2,Open/commercial SAR,Umbra,Umbra high-resolution SAR SLC/open data,Open/commercial archive not queried,Pre or post,Sub-metre variants,SLC InSAR/advanced SAR,Complex products in open/commercial offerings,Matching SLC pair,Open Data programme plus commercial tasking,Provider route identified,No data acquired,High if pair exists,Search open archive then contact commercial team,Exact Nepal coverage/pair and commercial access,Commercial SAR platform / contract,Yes after sales/platform onboarding,"Organisation, contact, AOI, acquisition mode, product level, date and use case",Provider-specific onboarding/MFA,"Archive availability/tasking feasibility, export controls and contract",Commercial quote/order and SAR imagery EULA,API token/OAuth or portal credentials if enabled,Portal/API/S3/SFTP/HTTPS,Not created / not required,Unknown or not applicable,Query Umbra Open Data STAC/AWS for Nepal before sales outreach,https://umbra.space/open-data/,https://umbra.space/contact/,,Medium,2026-08-30,
SAR-17,P2,Commercial SAR,Synspective,StriX SLC/CPHD/GRD,Archive not queried,Pre or post,~0.25–1 m modes,SLC InSAR or CPHD processing,SLC CEOS/SICD and platform/attitude metadata documented,Compatible pair or tasking,Archive/tasking/download platform and API service,Official platform/product/format docs researched,No data acquired,High if pair exists,Commercial SAR archive lead,Platform account/order and exact coverage,Commercial SAR platform / contract,Yes after sales/platform onboarding,"Organisation, contact, AOI, acquisition mode, product level, date and use case",Provider-specific onboarding/MFA,"Archive availability/tasking feasibility, export controls and contract",Commercial quote/order and SAR imagery EULA,API token/OAuth or portal credentials if enabled,Portal/API/S3/SFTP/HTTPS,Not created / not required,Unknown or not applicable,Request platform trial/metadata-only Nepal search,https://www.synspective.com/data/synspective-sar-data/,https://www.synspective.com/data/data-platform/,https://synspective.com/wp-content/uploads/2025/04/Synspective_Data_Platform_User_Guide_Archive_Service_EN_1.0.pdf,High,2026-08-30,
SAR-18,P3,SAR / InSAR — institutional,ASI / CONAE,SAOCOM-1,Zone-of-exclusivity/global archive coverage not queried,Pre or post,Mode dependent,L-band InSAR/coherence,SLC pair required,Matching SLC products,ASI registration route for non-commercial scientific/institutional use,Official ASI access terms researched,No data acquired,Medium,Research access lead,Registration package/licence and exact Nepal rights/coverage,Institutional/science proposal or commercial e-GEOS,Yes,Institution/user details and project purpose; commercial users contact e-GEOS,Portal registration and approval,ASI institutional/science eligibility or commercial contract,"Mission licence; science call may be free, commercial access quoted",Portal credentials; API depends on agreement,ASI portal or e-GEOS commercial delivery,Not created / not required,Unknown or not applicable,Check catalogue before completing membership forms,https://www.asi.it/en/earth-science/saocom/,,,High,2026-08-30,
SAR-19,P3,Commercial SAR,SI Imaging Services,KOMPSAT-5,Archive not queried,Pre or post,~0.85–20 m,X-band InSAR DEM / coherence,SLC/pair availability required,Compatible complex pair,"10+ year archive, order platform and InSAR DEM manual",Official SIIS product/order docs researched,No data acquired,Medium-high,Paid archive-search lead,Account/purchase and exact pair,Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Request SpaceEye account and metadata search,https://www.si-imaging.com/page/33,https://www.si-imaging.com/page/34,,High,2026-08-30,
SAR-20,P3,SAR / InSAR — research,INTA / Hisdesat,PAZ,No exact coverage confirmed,Pre or post,X-band metre class,InSAR with TSX/TDX/PAZ combinations,SLC and coordinated geometry needed,PAZ science products or joint call allocation,Joint DLR/INTA science calls,Joint call documentation researched,No data acquired,Medium,Research proposal lead,Separate INTA proposal/EULA and acquisition site availability,Scientific proposal / quota / possible service fee,Yes — DLR investigator plus later EOWEB account,"Username/password, email, full contact/address, PI/team and detailed research proposal/data requirements",Email verification; proposal evaluation can take weeks,"Approved scientific proposal, signed licence, scanned photo ID and assigned quota",Scientific licence; service fee may apply; Airbus commercial route is separate,DLR Science Service/EOWEB credentials,EOWEB/secure DLR download,Not created / not required,Unknown or not applicable,Only pursue through a relevant open/joint call,https://www.inta.es/paz-ciencia/en/,,,Medium,2026-08-30,
DEM-01,P0,Existing DEM — research gated,NASA / NSIDC,High Mountain Asia 8 m DEM mosaic,"Exact tiles 642, 643, 675, 676 identified",Pre baseline,8 m,Existing stereo-derived DEM,Already-derived DEM; no cameras needed for use,Four protected GeoTIFF granules,CMR metadata and protected URLs pinned,Exact granules queried; downloader implemented; auth tested,Metadata only; download HTTP 401,Very high as better pre baseline,Highest-priority accessible-baseline handoff,Earthdata invisible reCAPTCHA/account activation,Free Earthdata-gated,Yes — NASA Earthdata Login,"Username, password, name, email, country, affiliation, study area and user type",Email verification plus reCAPTCHA; optional MFA,Public once account is activated; some collections add EULAs,NASA/DAAC terms; no imagery fee,"Earthdata OAuth/URS session, .netrc, earthaccess or temporary S3 credentials","HTTPS, Earthdata Cloud S3, Earthdata Search or ASF Vertex",Registration submitted but not activated,Protected request returns 401,Complete Earthdata activation then run existing resumable downloader,https://nsidc.org/data/data-access-tool/HMA_DEM8m_AT/versions/1,https://search.earthdata.nasa.gov/,,High,2026-08-30,
DEM-02,P1,Existing DEM — open,Copernicus / AWS,Copernicus DEM GLO-30,N28E085 tile obtained and used,Pre/context,30 m,Existing global DSM,Not applicable,Public COG tile,Open global DEM,"Downloaded, cropped and validated",Current coarse absolute-height context,Medium context; low building scale,Keep as broad baseline only,30 m resolution and epoch/source mixture,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",No account required,Full public access,Retain; compare against HMA/AW3D/FABDEM,https://registry.opendata.aws/copernicus-dem/,,,High,2026-08-30,
DEM-03,P2,Existing DEM — free account,JAXA,ALOS World 3D 30 m AW3D30,Global Nepal tile available,Pre/context,30 m,Existing PRISM-derived DSM,Not applicable,N28E085-equivalent tile,Free global DSM,Official product and registration requirements researched,Not yet downloaded,Medium as independent baseline,Easy baseline cross-check,Free JAXA registration,Free JAXA registration,Yes,"Name, affiliation, nationality, email, usage category/purpose and terms acceptance",Email activation; JAXA emails ID/password,Public under AW3D30 terms,No charge; attribution/terms apply,Website ID/password,JAXA tile download,No account,None,Register and compare vertical datum/terrain against GLO-30/HMA,https://www.eorc.jaxa.jp/ALOS/en/dataset/aw3d30/index.htm,https://www.eorc.jaxa.jp/ALOS/en/aw3d30/data/index.htm,https://www.eorc.jaxa.jp/ALOS/en/aw3d30/registration.htm,High,2026-08-30,
DEM-04,P2,Existing DEM — open,NASA,NASADEM / SRTM,Global Nepal coverage,Pre/context,30 m,Existing radar DEM,Not applicable,AOI tile,Open global baseline via Earthdata/OpenTopography,Elevation source evaluated conceptually; no dedicated product retained,Point/context comparison only,Low-medium,Independent coarse baseline,30 m and 2000-era epoch,Free Earthdata-gated,Yes — NASA Earthdata Login,"Username, password, name, email, country, affiliation, study area and user type",Email verification plus reCAPTCHA; optional MFA,Public once account is activated; some collections add EULAs,NASA/DAAC terms; no imagery fee,"Earthdata OAuth/URS session, .netrc, earthaccess or temporary S3 credentials","HTTPS, Earthdata Cloud S3, Earthdata Search or ASF Vertex",Earthdata blocked,Alternative OpenTopography requires API key,Use OpenTopography API if a third coarse baseline is needed,https://www.earthdata.nasa.gov/data/catalog/lpcloud-nasadem-hgt-001,https://opentopography.org/developers,,High,2026-08-30,
DEM-05,P3,Existing DEM — open,University of Bristol / Fathom,FABDEM,Global Nepal tile available,Pre/context,30 m,Copernicus DEM with forest/building bias reduced,Not applicable,N20E080–N30E090 archive subset,Open research dataset,Official repository/licence researched,No data acquired,Medium for ground-like coarse baseline,Useful sensitivity baseline,Non-commercial share-alike licence and 30 m resolution,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",Not created / not required,Unknown or not applicable,Download Nepal block and compare stable terrain,https://data.bris.ac.uk/data/dataset/25wfy0f9ukoge2gs7a5mqpq2j7,,,High,2026-08-30,
DEM-06,P3,Existing DEM — open,DLR,TanDEM-X 90 m DEM,Global Nepal coverage,Pre/context,90 m,Existing bistatic SAR DEM,Not applicable,Global tile,Free after DLR self-registration,Official DLR access guide researched,No data acquired,Low due resolution,Datum/context cross-check only,90 m too coarse; self-registration,Free self-service account,Yes,"Name, working email, password, country/affiliation or intended use as requested",Email verification; MFA only if enabled or requested,Ordinary individual registration,Accept standard terms; normally no payment,"Portal session, API key or bearer token depending on service",HTTPS/API/cloud download,Not created / not required,Unknown or not applicable,No immediate action,https://c.geoservice.dlr.de/web/dataguide/tdm90/,,,High,2026-08-30,
DEM-07,P2,Existing DEM — free registration,DLR,TanDEM-X 30 m Edited DEM / DEM Change Maps,Global products reportedly available; exact Nepal tile not downloaded,Pre/change context,30 m,Existing bistatic SAR DEM/change product,Not applicable,Nepal tile,Free scientific-community products after registration,Official DLR announcement researched,No data acquired,Medium,Independent radar baseline/change context,Registration and 30 m detail,Free self-service account,Yes,"Name, working email, password, country/affiliation or intended use as requested",Email verification; MFA only if enabled or requested,Ordinary individual registration,Accept standard terms; normally no payment,"Portal session, API key or bearer token depending on service",HTTPS/API/cloud download,Not created / not required,Unknown or not applicable,Register/download if datum comparison is useful,https://tandemx-science.dlr.de/cgi-bin/wcm.pl,,,High,2026-08-30,
DEM-08,P2,Existing DEM — commercial,NTT DATA / AW3D,AW3D Standard 5 m DSM/DTM,Commercial global coverage; exact Nepal availability/epoch requires quote,Pre baseline,5 m; 2.5 m DTM options,Existing commercial stereo-derived DEM,Not applicable,AOI DSM/DTM with metadata/epoch,Commercial specification; minimum order ~100 km² DSM,Official product specification researched,No data acquired,Very high if recent enough,Strong paid pre-baseline option,"Quote, epoch transparency, cost and licence",Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Request sample/quote including source epochs and vertical datum,https://www.aw3d.jp/en/wp-content/uploads/sites/2/2022/06/AW3D-Standard.pdf,https://www.aw3d.jp/en/contact/,,High,2026-08-30,
DEM-09,P2,DEM aggregation service,OpenTopography,COP30/NASADEM/AW3D30/SRTM AOI API,All global baseline APIs cover AOI,Pre/context,30 m products,Existing DEM subset service,Not applicable,AOI API result,Multiple baseline datasets behind one API,Official API/auth/rate docs researched,No key created,Medium,Convenient baseline automation,Free API key/rate limits; no resolution improvement,Free API key / paid higher quota,Yes for global DEM API,MyOpenTopo account; academic/non-academic classification,Email/account verification,Public; rate limits depend on user type,Free key with limits; Plus/Enterprise for higher or commercial integration,API_Key query parameter; key must not be shared/embedded publicly,REST AOI subset in GeoTIFF/other formats,No account/API key,None,Create key only if automating multi-DEM sensitivity,https://opentopography.org/developers,,,High,2026-08-30,
DEM-10,P1,National elevation data — institution,Nepal Department of Survey,National topographic data / possible DHM/DEM,Rasuwa national holdings not publicly enumerated,Pre baseline,Potentially better than global; unknown,Existing national survey elevation,Not applicable,"AOI DEM/DHM, contours, control points and datum documentation",Department contacts and digital topographic-data programme,Official Department/office contacts researched,No data acquired,Potentially very high,Priority institutional outreach,No self-service inventory; formal request/licence/fee unknown,National-government request / possible fee,No confirmed self-service imagery portal,"Formal request identifying organisation, project, AOI, resolution, intended use and responsible contact",Department correspondence/approval,Department of Survey/DHM/NDRRMA discretion and national data policy,"Possible data fee, MoU, letter or restricted-use licence",None confirmed; institutional transfer,"Official request, media/secure transfer or partner portal",No request sent,None,Send formal request to topo/geo-information divisions via DHM/NDRRMA partner,https://dos.gov.np/,https://dos.gov.np/office/giid/,,Medium,2026-08-30,
DEM-11,P1,Regional elevation/data — institution/open,ICIMOD,Mountain GeoPortal / regional DEM and hazard services,Regional Nepal services exist; exact high-resolution pre-event DEM not confirmed,Pre/context,Dataset dependent,Existing DEM/hazard layers,Not applicable,Rasuwa DEM/source metadata or partner-held data,Open THREDDS/WCS services plus partner holdings,Official ICIMOD service endpoint identified,No DEM acquired,Potentially high,Priority regional-partner outreach,Inventory/terms and exact dataset unknown,Open regional services plus request-gated holdings,Varies by dataset/service,Email/profile or project request when a dataset is restricted,Email/partner approval as applicable,Public services or ICIMOD partner/research approval,Dataset-specific terms; usually research/public-good use,Public THREDDS/WCS for open services; credentials for restricted holdings,HTTP/WCS/THREDDS/partner transfer,No account/request,Open services only,Contact ICIMOD geospatial team with AOI and required epoch/resolution,https://www.icimod.org/,https://threddsdataserver.icimod.org/thredds/catalog.html,,Medium,2026-08-30,
INS-01,P0,Disaster-response programme,International Charter,Activation 1052 source and value-added products,Eight products; Airbus/Vantor/GeoEye/Satellogic/ISRO leads,Both/context,Sensor dependent,Potential access path to source camera-bearing products,Public products do not expose cameras,Activation source packages and metadata,Public processed maps and restricted operational imagery,Activation page and products reviewed,Candidate inventory and processed evidence,Very high as access route,Best institution-gated aggregation route,Authorised-user/partner status and source-licence controls,Institution/authorised-responder gated,No individual self-service route,"Access through authorised national disaster authority, Charter project manager or approved value-adding partner",Credentials issued to authorised organisations/users,Activation-specific operational role and licence,Normally no charge for activation response; strict use/redistribution controls,Restricted Charter/partner portal credentials,Restricted portal/FTP/partner transfer; processed public products may be open,No individual route,Public products only,Ask DHM/NDRRMA/Charter PM for exact source package metadata and approved transfer,https://download.disasterscharter.org/activations/flood-in-nepal-activation-1052-,,,High,2026-08-30,
INS-02,P1,Disaster-response programme,Sentinel Asia,Nepal activation requester WebGIS and contributed imagery,"Cartosat-1, ALOS-2, EOS-04 and public products confirmed",Both/context,Sensor dependent,Access route / historical stereo / SAR,Depends on source package,Requester-only source products where licensed,Public products plus restricted requester WebGIS,Activation page reviewed,Exact Cartosat-1 and SAR inventory,High,Strong partner access route,Membership/requester credentials,Institution/member gated,Public products no; requester WebGIS yes,Membership or access through the emergency observation requester/ADRC/JAXA partner,Requester-specific credentials sent after activation,Sentinel Asia member or authorised emergency-response role,Activation terms; generally no fee for approved response use,Restricted WebGIS login where required,Public value-added downloads or requester-only WebGIS,No member/requester status,Public links only,Coordinate through DHM requester or a Sentinel Asia member,https://sentinel-asia.org/EO/2026/article20260826NP.html,,,High,2026-08-30,
INS-03,P1,Disaster mapping / institution,Copernicus EMS,EMSR927 Rapid Mapping VHR orthos and grading,WV3/Legion/BlackSky/Satellogic processed orthos and damage products,Post/context,VHR processed,Processed mapping context; source cameras not delivered publicly,No original cameras in public CEMS products,Source imagery only through eligible programme rights,Public maps/vectors/COG orthos; raw licences restricted,Activation internals and products researched,Affected-area/building/road context,High context; access lead,Use public products; pursue source only through eligible partner,Copernicus source-imagery rights,Institution/eligibility-gated Copernicus CCM,Yes — CDSE account plus CCM category,"CDSE registration using eligible organisation email; organisation, sector, project and user-category details",Email verification; application decision generally by email,Eligible Copernicus Service/Union research/institution category; product-level download rights,"ESA CCM User Licence; normally programme-funded for eligible use, not general commercial access",CDSE OAuth/OIDC plus CCM entitlements,Browser/OData/S3/Sentinel Hub for entitled products,No CDSE CCM category,Public CEMS outputs,Ask an eligible Copernicus service/authority about source-product access,https://emergency.copernicus.eu/mapping/list-of-components/EMSR927,https://dataspace.copernicus.eu/,,High,2026-08-30,
INS-04,P2,Institutional commercial archive,Copernicus Data Space,Copernicus Contributing Missions VHR/SAR/DEM,"CCM catalogue includes WV, GeoEye, Pléiades/Neo, SPOT, KOMPSAT, SuperView, TripleSat, TerraSAR-X, RADARSAT-2 and DEM products; event rights unverified",Both,Mission dependent,Potential source/DEM access,Product dependent,Entitled native product with camera/complex data,Official searchable CCM catalogue with product-level rights,Official CCM inventory/access rules researched,No restricted product acquired,High as cross-provider catalogue,Eligibility-gated archive search,Organisation/user category and product-level download entitlement,Institution/eligibility-gated Copernicus CCM,Yes — CDSE account plus CCM category,"CDSE registration using eligible organisation email; organisation, sector, project and user-category details",Email verification; application decision generally by email,Eligible Copernicus Service/Union research/institution category; product-level download rights,"ESA CCM User Licence; normally programme-funded for eligible use, not general commercial access",CDSE OAuth/OIDC plus CCM entitlements,Browser/OData/S3/Sentinel Hub for entitled products,No CDSE/CCM account,Public Sentinel catalogue only,Determine eligible partner category before applying,https://documentation.dataspace.copernicus.eu/Data/Others/CCM.html,,https://documentation.dataspace.copernicus.eu/FAQ.html,High,2026-08-30,
INS-05,P2,Humanitarian mapping,UNITAR-UNOSAT / HDX / HOT,"Flood/landslide extents, damage assessment and buildings",Exact event products used,Context,Vector/product dependent,No DSM camera source,Not applicable,Public GeoJSON/maps,Damage/affected-area/building layers,Products downloaded/used,Authoritative AOI masks and building overlays,High context,Continue as validation/context,Raw commercial source imagery remains separately licensed,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",No account required,Public products,Retain provenance and monitor updates,https://www.unitar.org/maps,https://data.humdata.org/,,High,2026-08-30,
INS-06,P2,ESA research access,ESA Earth Online,Third Party Missions / commercial mission research data,No proposal submitted; missions may include relevant optical/SAR archives,Pre or post,Mission dependent,Stereo/InSAR depending on mission,Product dependent,Named mission/product in accepted proposal,ESA proposal/data-access mechanisms,Access route identified,No data acquired,Medium-high,Proposal route after exact catalogue lead,"EO Sign In, proposal eligibility, quota and mission terms",Scientific proposal / quota / possible service fee,Yes — DLR investigator plus later EOWEB account,"Username/password, email, full contact/address, PI/team and detailed research proposal/data requirements",Email verification; proposal evaluation can take weeks,"Approved scientific proposal, signed licence, scanned photo ID and assigned quota",Scientific licence; service fee may apply; Airbus commercial route is separate,DLR Science Service/EOWEB credentials,EOWEB/secure DLR download,No proposal/account,None,Do not submit generic request; identify exact scene first,https://earth.esa.int/eogateway/missions/third-party-missions,https://earth.esa.int/eogateway/catalog,,Medium,2026-08-30,
